Solucao	Gap	Tempo	Status Gurobi
873	0.01	0.14	2
Custos
Estoque	Setup
493	15500
J	T	M
10	8	3

Ocupacao de Maquinas Por Periodo
0.0	0.0	0.0	0.0	67.41	57.05	42.54	18.7	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
0.0	0.0	0.0	4.18	23.63	17.41	9.91	0.0	

Custos Estoque Por Periodo
6	0	0	47	138	184	118	0	

Item	T	Maq	Prod	Inv	Dem E	Dem I
8	8	3	0	0	18	0.0
9	1	1	11	0	13	143.0
9	1	2	145	0	13	0.0
9	1	3	0	0	13	0.0
9	2	1	13	0	22	123.0
9	2	2	132	0	22	0.0
9	2	3	0	0	22	0.0
9	3	1	108	0	16	92.0
9	3	2	0	0	16	0.0
9	3	3	0	0	16	0.0
9	4	1	94	0	18	141.0
9	4	2	65	0	18	0.0
9	4	3	0	0	18	0.0
9	5	1	76	0	17	199.0
9	5	2	76	0	17	0.0
9	5	3	64	0	17	0.0
9	6	1	59	0	18	150.0
9	6	2	59	0	18	0.0
9	6	3	50	0	18	0.0
9	7	1	41	0	25	57.0
9	7	2	41	0	25	0.0
9	7	3	0	0	25	0.0
9	8	1	16	0	16	16.0
9	8	2	16	0	16	0.0
9	8	3	0	0	16	0.0
10	1	1	0	0	19	149.0
10	1	2	162	0	19	9.0
10	1	3	0	0	19	0.0
10	2	1	143	0	22	134.0
10	2	2	2	0	22	9.0
10	2	3	0	0	22	0.0
10	3	1	0	0	16	0.0
10	3	2	108	0	16	96.0
10	3	3	0	0	16	0.0
10	4	1	105	0	22	82.0
10	4	2	58	0	22	94.0
10	4	3	0	0	22	0.0
10	5	1	83	0	17	74.0
10	5	2	83	0	17	74.0
10	5	3	50	0	17	74.0
10	6	1	66	0	23	49.0
10	6	2	66	0	23	49.0
10	6	3	41	0	23	49.0
10	7	1	34	0	20	36.0
10	7	2	43	0	20	36.0
10	7	3	0	0	20	34.0
10	8	1	16	0	23	12.0
10	8	2	23	0	23	12.0
10	8	3	0	0	23	0.0
